Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
"13-Dec-2024","EQ","101.90","102.49","100.19","102.02","101.71","101.77","101.23","149.66","96.51","5,91,582","5,98,87,936.64","8,644"
"12-Dec-2024","EQ","103.45","103.45","101.50","102.61","102.31","102.02","102.17","149.66","96.51","7,05,933","7,21,23,017.38","7,258"
"11-Dec-2024","EQ","103.40","105.05","102.45","103.32","102.89","102.61","103.34","149.66","96.51","14,50,078","14,98,56,514.44","11,689"
"10-Dec-2024","EQ","104.00","104.70","103.00","103.67","103.70","103.32","103.76","149.66","96.51","12,05,117","12,50,46,313.94","8,567"
"09-Dec-2024","EQ","104.90","105.62","103.55","104.70","103.70","103.67","104.21","149.66","96.51","9,26,926","9,65,93,346.20","9,523"
"06-Dec-2024","EQ","105.40","105.70","104.50","104.85","104.75","104.70","104.90","149.66","96.51","8,23,233","8,63,57,342.52","7,787"
"05-Dec-2024","EQ","105.25","106.00","104.10","104.30","104.82","104.85","104.87","149.66","96.51","13,87,147","14,54,69,116.77","10,140"
"04-Dec-2024","EQ","106.35","106.96","103.68","105.82","104.50","104.30","104.86","149.66","96.51","15,81,760","16,58,67,494.68","13,608"
"03-Dec-2024","EQ","105.42","106.75","104.93","105.54","105.94","105.82","106.00","149.66","96.51","7,87,951","8,35,21,000.99","10,802"
"02-Dec-2024","EQ","102.97","106.42","102.18","102.97","104.95","105.54","104.34","149.66","96.51","11,08,487","11,56,64,066.48","14,600"
"29-Nov-2024","EQ","105.51","105.54","102.50","105.54","102.99","102.97","103.85","149.66","96.51","8,95,668","9,30,11,315.57","11,284"
"28-Nov-2024","EQ","104.39","107.70","103.71","104.13","105.72","105.54","106.03","149.66","96.51","18,91,469","20,05,56,013.95","17,068"
"27-Nov-2024","EQ","103.15","105.65","102.61","102.90","104.50","104.13","104.18","149.66","96.51","15,48,940","16,13,63,662.33","13,101"
"26-Nov-2024","EQ","100.00","103.34","100.00","99.44","103.15","102.90","101.98","149.66","96.51","11,02,124","11,23,90,591.89","12,280"
"25-Nov-2024","EQ","102.50","102.50","99.16","99.83","99.66","99.44","100.61","149.66","96.51","12,42,464","12,50,05,283.50","16,186"
"22-Nov-2024","EQ","98.10","100.50","96.67","97.17","99.60","99.83","99.53","149.66","96.51","18,27,004","18,18,45,078.82","17,095"
"21-Nov-2024","EQ","100.00","100.00","96.51","100.21","97.21","97.17","97.59","149.66","96.51","16,55,924","16,15,93,472.21","23,221"
"19-Nov-2024","EQ","102.11","104.28","99.15","102.10","99.35","100.21","101.87","149.66","99.15","19,40,039","19,76,27,060.27","18,949"
"18-Nov-2024","EQ","101.51","104.00","101.31","104.26","101.80","102.10","102.30","149.66","101.31","16,15,059","16,52,20,453.17","17,894"
"14-Nov-2024","EQ","106.40","107.90","104.00","106.16","104.31","104.26","105.19","149.66","103.70","9,28,364","9,76,58,846.92","14,882"
"13-Nov-2024","EQ","106.45","107.10","103.70","106.40","106.25","106.16","105.74","149.66","103.70","11,93,243","12,61,68,313.39","16,752"
"12-Nov-2024","EQ","108.95","109.95","105.84","108.45","107.01","106.40","107.70","149.66","104.70","8,95,056","9,63,98,694.64","11,424"
"11-Nov-2024","EQ","110.15","110.99","107.65","110.61","109.10","108.45","109.42","149.66","104.70","9,28,039","10,15,49,817.09","14,078"
"08-Nov-2024","EQ","111.70","112.30","109.92","111.37","110.10","110.61","111.28","149.66","104.70","8,43,522","9,38,67,069.39","12,424"
"07-Nov-2024","EQ","113.00","113.98","111.11","112.80","111.85","111.37","112.39","149.66","104.70","7,50,301","8,43,22,706.71","9,135"
"06-Nov-2024","EQ","110.40","113.80","110.36","109.98","113.00","112.80","112.32","149.66","104.70","11,54,551","12,96,84,280.71","11,861"
"05-Nov-2024","EQ","109.55","111.30","108.61","109.94","110.17","109.98","110.02","149.66","104.70","8,96,585","9,86,37,980.86","12,639"
"04-Nov-2024","EQ","113.90","113.90","109.51","113.71","109.90","109.94","110.86","149.66","104.70","9,23,838","10,24,14,166.08","14,066"
"01-Nov-2024","EQ","112.96","114.40","112.95","112.17","113.60","113.71","113.76","149.66","104.70","4,17,487","4,74,93,821.74","4,718"
"31-Oct-2024","EQ","110.25","112.60","108.96","110.41","112.30","112.17","111.51","149.66","104.70","14,37,750","16,03,18,429.16","21,794"
"30-Oct-2024","EQ","107.86","111.64","107.73","107.73","110.50","110.41","110.02","149.66","104.70","8,73,449","9,60,98,956.61","11,241"
"29-Oct-2024","EQ","107.91","108.79","106.12","108.18","108.00","107.73","107.28","149.66","104.70","9,08,800","9,75,00,502.89","13,255"
"28-Oct-2024","EQ","107.37","109.21","105.55","107.03","108.05","108.18","107.67","149.66","104.70","11,77,069","12,67,29,700.48","19,270"
"25-Oct-2024","EQ","110.40","111.20","105.85","110.10","107.50","107.03","107.65","149.66","102.35","21,58,569","23,23,60,029.15","30,450"
"24-Oct-2024","EQ","113.00","113.75","109.50","112.10","110.20","110.10","111.08","149.66","102.35","12,94,007","14,37,44,216.40","15,132"
"23-Oct-2024","EQ","111.00","113.91","109.00","110.44","113.00","112.10","111.87","149.66","102.35","13,00,239","14,54,53,946.29","20,407"
"22-Oct-2024","EQ","115.02","115.17","110.00","114.10","111.25","110.44","112.32","149.66","102.35","19,31,292","21,69,26,196.55","22,559"
"21-Oct-2024","EQ","119.07","119.10","113.25","119.06","115.04","114.10","115.35","149.66","102.35","16,79,498","19,37,28,149.52","19,675"
"18-Oct-2024","EQ","115.90","119.85","113.90","116.31","118.27","119.06","117.67","149.66","102.35","18,11,085","21,31,18,631.68","20,218"
"17-Oct-2024","EQ","122.90","123.30","115.75","122.59","116.20","116.31","118.48","149.66","102.35","27,45,506","32,52,92,778.60","31,089"
"16-Oct-2024","EQ","121.90","123.50","120.25","121.82","122.40","122.59","122.01","149.66","102.35","32,87,546","40,11,06,440.69","25,666"
"15-Oct-2024","EQ","116.65","122.50","114.31","116.44","122.35","121.82","118.84","149.66","102.35","95,99,923","1,14,08,85,077.20","56,361"
"14-Oct-2024","EQ","118.45","118.45","116.11","118.45","116.70","116.44","117.01","149.66","102.35","7,68,948","8,99,73,654.57","9,815"
"11-Oct-2024","EQ","113.50","118.85","112.67","113.10","118.20","118.45","116.85","149.66","102.35","31,37,311","36,65,82,450.62","26,832"
"10-Oct-2024","EQ","115.76","115.76","112.00","114.38","113.94","113.10","112.88","149.66","102.35","29,42,689","33,21,70,626.18","15,851"
"09-Oct-2024","EQ","114.04","115.84","113.51","112.35","114.52","114.38","114.81","149.66","102.35","11,33,312","13,01,16,748.12","12,759"
"08-Oct-2024","EQ","111.50","112.91","108.66","111.12","112.48","112.35","111.44","149.66","102.35","15,67,486","17,46,85,325.13","23,402"
"07-Oct-2024","EQ","115.40","115.65","108.97","114.16","111.40","111.12","111.30","149.66","102.35","32,59,774","36,28,02,993.70","31,165"
"04-Oct-2024","EQ","117.59","117.66","113.21","118.22","113.99","114.16","115.66","149.66","102.35","34,82,346","40,27,76,260.95","50,137"
"03-Oct-2024","EQ","118.00","118.92","117.24","119.23","117.45","118.22","117.99","149.66","102.35","18,87,273","22,26,84,277.94","24,277"
"01-Oct-2024","EQ","118.45","120.80","117.89","117.75","119.40","119.23","119.11","149.66","102.35","16,99,109","20,23,80,146.28","19,935"
"30-Sep-2024","EQ","121.00","121.00","117.34","121.14","118.45","117.75","117.99","149.66","102.35","33,53,829","39,57,18,231.68","43,553"
"27-Sep-2024","EQ","121.65","123.00","120.10","120.72","120.97","121.14","121.79","149.66","102.35","15,03,385","18,30,98,492.75","21,411"
"26-Sep-2024","EQ","122.00","123.71","120.05","121.95","121.20","120.72","120.93","149.66","102.35","41,37,275","50,03,35,040.91","28,472"
"25-Sep-2024","EQ","123.30","123.55","121.50","123.36","121.70","121.95","122.12","149.66","102.35","15,56,471","19,00,69,760.13","18,485"
"24-Sep-2024","EQ","123.90","125.29","122.60","123.85","123.25","123.36","123.97","149.66","102.35","24,03,377","29,79,36,019.41","26,522"
"23-Sep-2024","EQ","124.00","124.70","122.05","122.38","123.60","123.85","123.51","149.66","102.35","25,74,490","31,79,68,861.14","24,943"
