Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2025-05-20,56.48,53.89,55.84,53.89,48.5,59.28,0,,0,
2025-05-21,56.48,54.05,55.98,54.05,48.65,59.46,0,,0,
2025-05-22,57.25,54.19,56.15,54.19,48.77,59.61,0,,0,
2025-05-23,58.05,54.33,56.35,54.33,48.9,59.77,0,,0,
2025-05-26,59.01,54.46,56.6,54.46,49.02,59.91,0,,0,
2025-05-27,59.35,54.59,56.81,54.59,49.14,60.05,0,,0,
2025-05-28,58.87,54.74,56.95,54.74,49.26,60.21,0,,0,
2025-05-29,58.73,54.9,57.04,54.9,49.41,60.39,0,,0,
2025-05-30,57.88,55.04,57.11,55.04,49.53,60.54,0,,0,
2025-06-02,58.2,55.18,57.21,55.18,49.66,60.7,0,,0,
2025-06-03,58.5,55.32,57.32,55.32,49.79,60.85,0,,0,
2025-06-04,58.71,55.44,57.45,55.44,49.9,60.98,0,,0,
2025-06-05,59.4,55.57,57.59,55.57,50.01,61.13,0,,0,
2025-06-06,60.51,55.69,57.77,55.69,50.12,61.26,0,,0,
2025-06-09,62.15,55.82,57.98,55.82,50.24,61.4,0,,1,62.15
2025-06-10,62.47,55.97,58.24,55.97,50.38,61.57,0,,0,
2025-06-11,62.41,56.15,58.45,56.15,50.54,61.77,0,,0,
2025-06-12,61.51,56.32,58.66,56.32,50.69,61.95,0,,0,
2025-06-13,61.3,56.5,58.83,56.5,50.85,62.16,0,,0,
2025-06-16,61.47,56.71,58.99,56.71,51.04,62.38,0,,0,
2025-06-17,61.07,56.91,59.16,56.91,51.22,62.6,0,,0,
2025-06-18,60.43,57.08,59.3,57.08,51.38,62.79,0,,0,
2025-06-19,59.19,57.24,59.39,57.24,51.52,62.96,0,,0,
2025-06-20,59.9,57.43,59.47,57.43,51.69,63.18,0,,0,
2025-06-23,58.92,57.58,59.53,57.58,51.82,63.34,0,,0,
2025-06-24,59.16,57.74,59.64,57.74,51.97,63.51,0,,0,
2025-06-25,59.76,57.88,59.77,57.88,52.09,63.66,0,,0,
2025-06-26,60.12,58.02,59.88,58.02,52.22,63.82,0,,0,
2025-06-27,60.09,58.16,59.96,58.16,52.34,63.97,0,,0,
2025-06-30,59.72,58.3,59.99,58.3,52.47,64.13,0,,0,
2025-07-01,59.57,58.41,60.0,58.41,52.57,64.25,0,,0,
2025-07-02,59.45,58.49,60.02,58.49,52.64,64.33,0,,0,
2025-07-03,60.38,58.57,60.09,58.57,52.71,64.42,0,,0,
2025-07-04,60.32,58.65,60.19,58.65,52.78,64.51,0,,0,
2025-07-07,62.06,58.78,60.34,58.78,52.9,64.66,0,,0,
2025-07-08,64.6,58.95,60.59,58.95,53.06,64.85,0,,0,
2025-07-09,64.8,59.14,60.83,59.14,53.22,65.05,0,,0,
2025-07-10,64.48,59.31,61.03,59.31,53.38,65.24,0,,0,
2025-07-11,63.41,59.46,61.15,59.46,53.52,65.41,0,,0,
2025-07-14,63.38,59.59,61.2,59.59,53.63,65.55,0,,0,
2025-07-15,64.73,59.76,61.29,59.76,53.79,65.74,0,,0,
2025-07-16,64.5,59.91,61.37,59.91,53.92,65.9,0,,0,
2025-07-17,64.47,60.08,61.49,60.08,54.07,66.08,0,,0,
2025-07-18,43.52,59.81,60.78,59.81,53.83,65.79,1,43.52,0,
2025-07-21,43.81,59.53,60.07,59.53,53.58,65.48,0,,0,
2025-07-22,42.84,59.25,59.34,59.25,53.33,65.18,0,,0,
2025-07-23,41.57,58.95,58.59,58.95,53.05,64.84,0,,0,
2025-07-24,41.4,58.64,57.88,58.64,52.77,64.5,0,,0,
2025-07-25,40.49,58.29,57.1,58.29,52.46,64.11,0,,0,
2025-07-28,40.01,57.94,56.35,57.94,52.14,63.73,0,,0,
2025-07-29,38.98,57.59,55.54,57.59,51.83,63.35,0,,0,
2025-07-30,37.77,57.21,54.66,57.21,51.49,62.93,0,,0,
2025-07-31,37.1,56.81,53.74,56.81,51.13,62.49,0,,0,
2025-08-01,37.52,56.4,52.84,56.4,50.76,62.04,0,,0,
2025-08-04,38.24,55.98,51.98,55.98,50.39,61.58,0,,0,
2025-08-05,39.35,55.58,51.17,55.58,50.03,61.14,0,,0,
2025-08-06,38.73,55.18,50.34,55.18,49.66,60.7,0,,0,
2025-08-07,38.28,54.77,49.45,54.77,49.3,60.25,0,,0,
2025-08-08,39.09,54.4,48.61,54.4,48.96,59.84,0,,0,
2025-08-11,38.28,54.0,47.65,54.0,48.6,59.4,0,,0,
2025-08-12,37.86,53.59,46.58,53.59,48.23,58.94,0,,0,
2025-08-13,37.66,53.16,45.5,53.16,47.85,58.48,0,,0,
2025-08-14,37.79,52.73,44.43,52.73,47.46,58.01,0,,0,
2025-08-18,39.46,52.31,43.47,52.31,47.08,57.54,0,,0,
2025-08-19,41.89,51.91,42.61,51.91,46.72,57.1,0,,0,
2025-08-20,42.88,51.51,41.74,51.51,46.36,56.67,0,,0,
2025-08-21,42.73,51.12,40.87,51.12,46.01,56.23,0,,0,
2025-08-22,41.76,50.73,39.96,50.73,45.65,55.8,0,,0,
2025-08-25,42.03,50.34,39.9,50.34,45.31,55.37,0,,0,
2025-08-26,41.61,49.94,39.81,49.94,44.95,54.94,0,,0,
2025-08-28,41.42,49.55,39.76,49.55,44.6,54.51,0,,0,
2025-08-29,41.56,49.17,39.76,49.17,44.26,54.09,0,,0,
2025-09-01,41.98,48.83,39.78,48.83,43.95,53.71,0,,0,
2025-09-02,43.0,48.49,39.88,48.49,43.64,53.34,0,,0,
2025-09-03,42.87,48.17,39.99,48.17,43.35,52.99,0,,0,
2025-09-04,44.15,47.87,40.2,47.87,43.08,52.66,0,,0,
2025-09-05,45.17,47.58,40.5,47.58,42.82,52.34,0,,0,
2025-09-08,47.26,47.32,40.9,47.32,42.59,52.05,0,,0,
2025-09-09,49.5,47.11,41.38,47.11,42.4,51.82,0,,0,
2025-09-10,48.91,46.89,41.81,46.89,42.2,51.58,0,,0,
2025-09-11,49.5,46.69,42.21,46.69,42.02,51.36,0,,0,
2025-09-12,50.09,46.5,42.67,46.5,41.85,51.15,0,,0,
2025-09-15,48.82,46.27,43.09,46.27,41.65,50.9,0,,0,
2025-09-16,49.35,46.05,43.5,46.05,41.45,50.66,0,,0,
2025-09-17,48.6,45.78,43.91,45.78,41.21,50.36,0,,0,
2025-09-18,48.48,45.46,44.34,45.46,40.92,50.01,0,,0,
2025-09-19,48.46,45.13,44.77,45.13,40.62,49.65,0,,0,
2025-09-22,47.58,44.8,45.16,44.8,40.32,49.28,0,,0,
2025-09-23,48.01,44.49,45.5,44.49,40.04,48.94,0,,0,
2025-09-24,47.17,44.16,45.72,44.16,39.75,48.58,0,,0,
2025-09-25,46.71,43.8,45.87,43.8,39.42,48.18,0,,0,
2025-09-26,46.85,43.45,46.03,43.45,39.11,47.8,0,,0,
2025-09-29,46.44,43.09,46.22,43.09,38.78,47.4,0,,0,
2025-09-30,45.71,43.13,46.37,43.13,38.82,47.45,0,,0,
2025-10-01,45.84,43.18,46.54,43.18,38.86,47.49,0,,0,
2025-10-03,45.74,43.23,46.71,43.23,38.91,47.56,0,,0,
2025-10-06,45.44,43.31,46.87,43.31,38.98,47.64,0,,0,
2025-10-07,46.38,43.41,47.04,43.41,39.07,47.75,0,,0,
2025-10-08,45.74,43.52,47.15,43.52,39.16,47.87,0,,0,
2025-10-09,45.06,43.62,47.24,43.62,39.25,47.98,0,,0,
2025-10-10,44.46,43.73,47.25,43.73,39.35,48.1,0,,0,
2025-10-13,45.04,43.87,47.25,43.87,39.48,48.26,0,,0,
2025-10-14,44.05,44.01,47.12,44.01,39.61,48.41,0,,0,
2025-10-15,46.41,44.19,46.99,44.19,39.77,48.61,0,,0,
2025-10-16,46.26,44.35,46.89,44.35,39.91,48.78,0,,0,
2025-10-17,45.89,44.48,46.74,44.48,40.03,48.93,0,,0,
2025-10-20,46.45,44.63,46.6,44.63,40.17,49.1,0,,0,
2025-10-21,46.56,44.8,46.51,44.8,40.32,49.28,0,,0,
2025-10-23,47.67,44.97,46.44,44.97,40.47,49.47,0,,0,
2025-10-24,47.09,45.15,46.38,45.15,40.63,49.66,0,,0,
2025-10-27,46.3,45.32,46.29,45.32,40.78,49.85,0,,0,
2025-10-28,46.74,45.5,46.22,45.5,40.95,50.05,0,,0,
2025-10-29,47.82,45.7,46.23,45.7,41.13,50.27,0,,0,
2025-10-30,47.41,45.86,46.21,45.86,41.27,50.44,0,,0,
2025-10-31,47.21,45.96,46.21,45.96,41.37,50.56,0,,0,
2025-11-03,47.65,46.06,46.25,46.06,41.45,50.66,0,,0,
